NO;age;job;marital;education;balance;housing;loan;contact
1;30;unemployed;married;SMU;1787;no;no;cellular
2;33;services;married;S1;4789;yes;yes;cellular
3;35;management;single;S2;1350;yes;no;cellular
4;30;management;married;S2;1476;yes;yes;unknown
5;59;blue-collar;married;S1;0;yes;no;unknown
6;35;management;single;S2;747;no;no;cellular
7;36;self-employed;married;S2;307;yes;no;cellular
8;39;technician;married;S1;147;yes;no;cellular
9;41;entrepreneur;married;S2;221;yes;no;unknown
10;43;services;married;SMU;-88;yes;yes;cellular
11;39;services;married;S1;9374;yes;no;unknown
12;43;admin.;married;S1;264;yes;no;cellular
13;36;technician;married;S2;1109;no;no;cellular
14;20;student;single;S1;502;no;no;cellular
15;31;blue-collar;married;S1;360;yes;yes;cellular
16;40;management;married;S2;194;no;yes;cellular
17;56;technician;married;S1;4073;no;no;cellular
18;37;admin.;single;S2;2317;yes;no;cellular
19;25;blue-collar;single;SMU;-221;yes;no;unknown
20;31;services;married;S1;132;no;no;cellular
21;38;management;divorced;unknown;0;yes;no;cellular
22;42;management;divorced;S2;16;no;no;cellular
23;44;services;single;S1;106;no;no;unknown
24;44;entrepreneur;married;S1;93;no;no;cellular
25;26;housemaid;married;S2;543;no;no;cellular
26;41;management;married;S2;5883;no;no;cellular
27;55;blue-collar;married;SMU;627;yes;no;unknown
28;67;retired;married;unknown;696;no;no;telephone
29;56;self-employed;married;S1;784;no;yes;cellular
30;53;admin.;married;S1;105;no;yes;cellular
